location;municipality_code;location_type;building_type;address;latitude;longitude
Åskollen bo og servicesenter;3005;Bygning;Helsebygg;Nordbyveien 49;59.717321126601334;10.260239139278431
Gulskogen skole;3005;Bygning;Skole;Vintergata 8;59.741560710325444;10.166726764222494
Parktunet barnehage;3005;Bygning;Barnehage;Øvre Storgate 18;59.74568614905315;10.194947823385764
